                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 0.7786,                0.49831,                0.90158,                 0.9729,                0.98864,                0.99304,                0.76955,                0.80192,                0.45817,                0.90895,              0.0015545,              0.0015545,              0.0015545
                     93,                0.79296,                0.52848,                0.91781,                0.98788,                0.98864,                0.99434,                0.77893,                0.79725,                0.44725,                0.90655,              0.0015496,              0.0015496,              0.0015496
                     94,                0.78101,                0.52163,                0.90977,                0.97776,                0.99915,                0.99174,                0.75528,                0.84709,                0.47935,                0.91504,              0.0015446,              0.0015446,              0.0015446
                     95,                0.80564,                0.49864,                0.90854,                0.97767,                0.99491,                0.99224,                0.76285,                0.81923,                0.50364,                0.90983,              0.0015397,              0.0015397,              0.0015397
                     96,                0.80398,                  0.514,                 0.9172,                0.98672,                0.98864,                0.99389,                0.79567,                0.79634,                0.46173,                0.91984,              0.0015347,              0.0015347,              0.0015347
                     97,                0.83431,                0.50246,                0.92846,                0.98604,                0.98864,                0.99424,                0.80326,                0.76132,                0.46036,                0.90813,              0.0015298,              0.0015298,              0.0015298
                     98,                0.78798,                0.48613,                0.91381,                0.99642,                      1,                  0.995,                0.77928,                0.80726,                0.48324,                0.91264,              0.0015248,              0.0015248,              0.0015248
                     99,                 0.7795,                0.46782,                0.90544,                0.98455,                      1,                0.99478,                0.78137,                0.81369,                0.49212,                 0.9087,              0.0015199,              0.0015199,              0.0015199
                    100,                 0.7928,                0.47759,                0.90872,                0.97727,                0.97737,                0.99423,                0.77327,                0.83131,                0.46829,                0.94215,              0.0015149,              0.0015149,              0.0015149
                    101,                0.79107,                0.48597,                0.92103,                0.99203,                0.97727,                0.99445,                0.76547,                0.83164,                0.46711,                0.95203,              0.0015099,              0.0015099,              0.0015099
                    102,                 0.7757,                0.47693,                0.90763,                0.99619,                0.98864,                0.99417,                0.78779,                0.80352,                0.44336,                0.93119,               0.001505,               0.001505,               0.001505
                    103,                0.77196,                0.48482,                0.90667,                0.98705,                0.98864,                0.99373,                0.78667,                0.77878,                0.45843,                0.91384,              0.0015001,              0.0015001,              0.0015001
                    104,                0.77576,                0.48073,                0.90864,                0.98735,                      1,                0.99478,                 0.7843,                0.77669,                0.46571,                0.90354,              0.0014951,              0.0014951,              0.0014951
                    105,                0.74878,                0.48285,                0.89826,                 0.9987,                      1,                  0.995,                 0.7919,                0.78921,                0.44594,                 0.9106,              0.0014901,              0.0014901,              0.0014901
                    106,                0.76896,                0.47371,                0.90924,                0.99816,                      1,                  0.995,                0.79906,                0.76561,                0.43653,                0.89191,              0.0014852,              0.0014852,              0.0014852
                    107,                0.79163,                0.48546,                0.92037,                0.99737,                      1,                  0.995,                0.79403,                0.78559,                 0.4341,                0.90829,              0.0014803,              0.0014803,              0.0014803
                    108,                0.79651,                0.49335,                0.92225,                0.98477,                0.98864,                0.99266,                0.77419,                 0.8007,                0.45937,                0.92014,              0.0014753,              0.0014753,              0.0014753
                    109,                0.78268,                0.47479,                0.91547,                0.98854,                0.98053,                0.99232,                0.77321,                0.80745,                0.45832,                0.91978,              0.0014703,              0.0014703,              0.0014703
                    110,                0.77992,                0.48208,                0.89759,                0.98872,                0.99583,                0.99478,                0.76276,                0.83433,                0.46589,                0.95332,              0.0014654,              0.0014654,              0.0014654
                    111,                0.77176,                0.46872,                0.89943,                0.97983,                0.97727,                0.99211,                0.78297,                 0.7868,                0.46729,                 0.9275,              0.0014605,              0.0014605,              0.0014605
                    112,                0.75053,                0.45849,                0.90204,                0.97707,                0.98864,                0.98962,                0.79245,                0.77535,                0.46593,                0.90558,              0.0014555,              0.0014555,              0.0014555
                    113,                0.77704,                0.47695,                0.90744,                0.96606,                0.97727,                0.98747,                0.79062,                 0.7751,                0.44493,                0.90572,              0.0014505,              0.0014505,              0.0014505
                    114,                0.76532,                0.45873,                0.89497,                0.97418,                0.97727,                0.98873,                0.78945,                0.78154,                0.43311,                0.91799,              0.0014456,              0.0014456,              0.0014456
                    115,                0.76175,                 0.4603,                0.89868,                0.97333,                0.97727,                0.98388,                0.77776,                0.78561,                0.43217,                0.91947,              0.0014406,              0.0014406,              0.0014406
                    116,                0.78393,                0.47235,                0.90969,                0.98863,                0.98848,                0.98812,                0.78295,                0.79172,                0.43922,                0.90036,              0.0014357,              0.0014357,              0.0014357
                    117,                0.77166,                0.48956,                0.91517,                0.98695,                0.97727,                0.99159,                0.77064,                0.82122,                0.45321,                0.89851,              0.0014307,              0.0014307,              0.0014307
                    118,                0.78089,                0.46743,                0.89113,                0.97752,                0.98819,                0.99178,                0.78002,                0.79474,                0.46114,                0.89644,              0.0014258,              0.0014258,              0.0014258
                    119,                0.76218,                0.48079,                0.90565,                0.96627,                0.97668,                0.97456,                0.77224,                 0.7703,                0.45809,                0.89424,              0.0014208,              0.0014208,              0.0014208
                    120,                0.75587,                0.46886,                0.91331,                      1,                0.98599,                0.99478,                0.77573,                0.76786,                0.45223,                0.90201,              0.0014159,              0.0014159,              0.0014159
                    121,                0.75109,                0.46143,                0.90286,                0.98815,                      1,                0.99489,                0.79178,                0.76051,                0.43273,                0.89923,               0.001411,               0.001411,               0.001411
                    122,                 0.7244,                0.45089,                0.88612,                      1,                 0.9991,                  0.995,                0.79878,                0.75477,                0.41714,                0.90055,               0.001406,               0.001406,               0.001406
                    123,                0.74003,                0.45483,                0.89846,                      1,                0.99947,                  0.995,                0.78973,                0.77065,                0.42284,                0.91262,              0.0014011,              0.0014011,              0.0014011
                    124,                0.74386,                0.45391,                0.89085,                      1,                 0.9984,                  0.995,                 0.7992,                0.76773,                0.41377,                0.90976,              0.0013961,              0.0013961,              0.0013961
                    125,                0.74023,                0.44443,                  0.896,                0.99827,                0.98864,                0.99478,                0.78992,                0.79109,                 0.4414,                 0.9236,              0.0013912,              0.0013912,              0.0013912
                    126,                0.76345,                0.45324,                0.90746,                0.98686,                0.98864,                0.99456,                 0.7923,                0.81447,                0.44251,                0.93712,              0.0013862,              0.0013862,              0.0013862
                    127,                0.74386,                0.44847,                0.89957,                0.98846,                0.98864,                0.99456,                0.78527,                0.81276,                0.43976,                0.92872,              0.0013813,              0.0013813,              0.0013813
                    128,                0.75669,                0.46821,                0.88467,                      1,                0.98579,                0.99467,                0.78786,                0.77369,                0.44268,                0.91449,              0.0013763,              0.0013763,              0.0013763
                    129,                0.73404,                0.46617,                0.90543,                0.98875,                0.99844,                0.99489,                0.78984,                 0.7726,                0.42751,                0.90974,              0.0013714,              0.0013714,              0.0013714
                    130,                0.73414,                0.45201,                0.88921,                      1,                0.98445,                0.99478,                0.78994,                0.78927,                0.41664,                0.90873,              0.0013664,              0.0013664,              0.0013664
                    131,                0.74304,                0.44188,                0.89746,                0.99613,                0.98864,                0.99467,                0.79823,                0.77311,                0.42644,                0.90628,              0.0013615,              0.0013615,              0.0013615
                    132,                0.77206,                0.47288,                0.91017,                0.99142,                0.98864,                0.99478,                0.78346,                 0.7839,                0.43573,                0.91514,              0.0013565,              0.0013565,              0.0013565
                    133,                0.73639,                0.45588,                0.88936,                0.98796,                      1,                0.99489,                 0.8002,                0.75972,                 0.4276,                0.90223,              0.0013515,              0.0013515,              0.0013515
                    134,                0.75891,                0.45405,                0.89707,                0.98213,                0.98864,                0.99103,                0.81551,                0.75961,                0.42449,                0.90628,              0.0013466,              0.0013466,              0.0013466
                    135,                0.73357,                0.44602,                 0.8911,                0.99795,                      1,                  0.995,                0.81436,                  0.744,                0.42618,                0.90849,              0.0013417,              0.0013417,              0.0013417
                    136,                0.74185,                 0.4411,                0.88213,                0.97688,                      1,                0.99478,                0.79326,                0.79128,                0.42359,                0.91586,              0.0013367,              0.0013367,              0.0013367
                    137,                0.75413,                  0.452,                0.89416,                0.97638,                      1,                0.99352,                0.78815,                0.79137,                0.41857,                0.90884,              0.0013318,              0.0013318,              0.0013318
                    138,                0.73945,                0.44636,                0.89744,                0.98719,                      1,                0.99275,                 0.7908,                0.76945,                0.40214,                0.90334,              0.0013268,              0.0013268,              0.0013268
                    139,                0.74844,                0.43348,                0.88337,                0.95488,                      1,                0.99054,                0.80397,                0.77802,                0.40943,                 0.9032,              0.0013219,              0.0013219,              0.0013219
                    140,                0.74118,                 0.4394,                0.90218,                0.95309,                0.97727,                0.98386,                0.78655,                0.80837,                0.42839,                0.95168,              0.0013169,              0.0013169,              0.0013169
                    141,                0.74802,                0.45276,                 0.8866,                0.94471,                0.97727,                 0.9767,                0.78316,                0.82411,                0.42559,                0.95743,               0.001312,               0.001312,               0.001312
                    142,                0.75298,                0.44675,                0.89994,                0.95987,                0.97727,                0.97121,                0.78576,                0.81914,                0.42358,                0.96083,               0.001307,               0.001307,               0.001307
                    143,                0.71329,                0.43369,                0.91556,                0.98462,                0.98864,                 0.9883,                0.79362,                0.81116,                0.42203,                0.94412,               0.001302,               0.001302,               0.001302
                    144,                0.77506,                0.45063,                0.90191,                0.98739,                0.98864,                0.98809,                 0.7917,                0.80488,                0.41844,                0.92507,              0.0012971,              0.0012971,              0.0012971
                    145,                0.75568,                0.46006,                0.90706,                      1,                0.98647,                0.98689,                0.78444,                 0.8278,                0.42044,                0.93316,              0.0012922,              0.0012922,              0.0012922
                    146,                0.73996,                0.43684,                0.88965,                0.98171,                0.96591,                0.98311,                0.77704,                0.82787,                0.43346,                0.93161,              0.0012872,              0.0012872,              0.0012872
                    147,                0.69151,                0.42275,                0.87281,                0.97717,                 0.9726,                0.98487,                0.79114,                0.81194,                0.43332,                0.92565,              0.0012822,              0.0012822,              0.0012822
