                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.71885,                0.41081,                0.96803,                0.99233,                 0.9932,                0.99431,                0.77092,                0.89816,                0.39148,                 1.0391,              0.0017624,              0.0017624,              0.0017624
                    123,                0.72804,                0.39422,                0.96684,                   0.98,                0.99985,                 0.9942,                0.80043,                0.83599,                0.38276,                 1.0448,              0.0017604,              0.0017604,              0.0017604
                    124,                0.73954,                0.40361,                0.97008,                0.99102,                      1,                0.99398,                0.79943,                0.84924,                0.38521,                 1.0493,              0.0017584,              0.0017584,              0.0017584
                    125,                0.72126,                0.39381,                0.97824,                0.99164,                      1,                 0.9933,                0.79426,                0.84807,                0.37434,                 1.0564,              0.0017565,              0.0017565,              0.0017565
                    126,                0.74629,                0.40491,                0.98317,                0.98859,                      1,                0.99356,                0.79703,                0.87378,                0.37935,                 1.0704,              0.0017545,              0.0017545,              0.0017545
                    127,                0.73391,                0.40081,                 0.9748,                0.99217,                      1,                0.99432,                0.80304,                0.83177,                0.36792,                 1.0466,              0.0017525,              0.0017525,              0.0017525
                    128,                0.73754,                0.39475,                0.98074,                0.98656,                0.99882,                0.99445,                0.79978,                  0.859,                0.38895,                  1.051,              0.0017505,              0.0017505,              0.0017505
                    129,                0.76218,                0.39324,                 0.9834,                0.98288,                      1,                0.99345,                0.78982,                0.84852,                  0.409,                 1.0529,              0.0017485,              0.0017485,              0.0017485
                    130,                0.73528,                0.40491,                0.97044,                0.98932,                 0.9966,                0.99431,                0.79949,                0.85786,                0.39276,                 1.0586,              0.0017466,              0.0017466,              0.0017466
                    131,                0.74028,                0.40464,                0.98912,                0.99627,                      1,                0.99405,                0.77225,                 0.9553,                0.41277,                 1.0743,              0.0017446,              0.0017446,              0.0017446
