                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.40721,                0.35462,                0.98928,                0.99564,                      1,                  0.995,                0.95665,                0.34268,                0.25966,                0.84467,              0.0017347,              0.0017347,              0.0017347
                    137,                 0.3802,                0.32645,                0.98124,                0.99469,                      1,                  0.995,                0.96506,                 0.3414,                0.24716,                0.84069,              0.0017327,              0.0017327,              0.0017327
                    138,                0.41989,                0.38799,                0.97926,                0.99272,                      1,                  0.995,                0.97074,                0.34184,                0.25528,                 0.8438,              0.0017307,              0.0017307,              0.0017307
                    139,                0.36811,                0.33559,                0.96909,                0.99036,                      1,                  0.995,                0.96787,                0.36601,                 0.2787,                0.86487,              0.0017287,              0.0017287,              0.0017287
                    140,                0.36558,                0.32223,                0.97166,                0.99289,                      1,                  0.995,                0.92766,                 0.4091,                0.30923,                0.91934,              0.0017268,              0.0017268,              0.0017268
                    141,                0.37681,                0.30892,                0.97298,                  0.995,                      1,                  0.995,                0.94931,                0.37349,                0.28132,                0.87448,              0.0017248,              0.0017248,              0.0017248
                    142,                0.39705,                0.36961,                0.96769,                 0.9952,                      1,                  0.995,                0.95064,                0.33974,                0.26947,                0.84247,              0.0017228,              0.0017228,              0.0017228
                    143,                0.41539,                0.36096,                 0.9994,                0.99512,                      1,                  0.995,                0.95719,                0.32022,                0.26902,                0.82951,              0.0017208,              0.0017208,              0.0017208
                    144,                 0.4171,                 0.3707,                0.97185,                0.99532,                      1,                  0.995,                0.95323,                0.32349,                0.27007,                0.83614,              0.0017188,              0.0017188,              0.0017188
                    145,                0.42182,                0.34292,                0.99354,                0.99557,                      1,                  0.995,                0.94885,                0.33834,                0.28801,                0.85805,              0.0017169,              0.0017169,              0.0017169
                    146,                0.41136,                0.34694,                0.97714,                0.99612,                      1,                  0.995,                0.93567,                0.39684,                0.29289,                0.91394,              0.0017149,              0.0017149,              0.0017149
                    147,                0.41559,                0.36905,                 1.0336,                0.99524,                      1,                  0.995,                0.94688,                0.43937,                 0.2917,                0.96531,              0.0017129,              0.0017129,              0.0017129
                    148,                0.44986,                0.41584,                 1.0114,                0.99488,                      1,                  0.995,                 0.9157,                0.41301,                 0.2766,                0.92965,              0.0017109,              0.0017109,              0.0017109
                    149,                0.39785,                0.38629,                0.95345,                0.99485,                      1,                  0.995,                0.95948,                0.35347,                0.25429,                 0.8625,              0.0017089,              0.0017089,              0.0017089
                    150,                0.40555,                0.36218,                0.98243,                0.99569,                      1,                  0.995,                0.97018,                0.29924,                 0.2091,                0.82133,               0.001707,               0.001707,               0.001707
                    151,                0.39655,                0.35596,                0.97934,                0.99648,                      1,                  0.995,                0.96729,                 0.2806,                0.19131,                  0.804,               0.001705,               0.001705,               0.001705
                    152,                0.39368,                0.36313,                0.99263,                0.99653,                      1,                  0.995,                0.95874,                0.33972,                0.24357,                0.84858,               0.001703,               0.001703,               0.001703
                    153,                0.40734,                0.36324,                0.97202,                 0.9962,                      1,                  0.995,                0.94006,                0.33682,                0.25224,                0.85506,               0.001701,               0.001701,               0.001701
                    154,                0.39559,                0.34816,                0.99853,                0.99448,                      1,                  0.995,                0.93816,                0.32895,                0.30346,                0.84856,               0.001699,               0.001699,               0.001699
                    155,                0.45352,                0.37076,                0.98268,                0.97826,                      1,                  0.995,                0.91517,                0.36362,                0.34724,                0.86541,              0.0016971,              0.0016971,              0.0016971
                    156,                0.42754,                0.40028,                0.97255,                0.98956,                      1,                  0.995,                0.88081,                0.43478,                0.39998,                0.96584,              0.0016951,              0.0016951,              0.0016951
                    157,                0.38116,                0.33997,                0.97924,                      1,                0.98386,                  0.995,                0.91052,                 0.5061,                0.39519,                 1.0876,              0.0016931,              0.0016931,              0.0016931
